"vehicle_id","label","trip_id","route_id","latitude","longitude","bearing","speed","timestamp"
"1013",,"1607__261023_Timetable_-_2025-02","302",43.967533111572266,-78.95110321044922,,,"2025-03-22T16:59:35.000Z"
"6101",,"2972__261012_Timetable_-_2025-02","915",43.89970016479492,-79.0240478515625,,,"2025-03-22T16:59:51.000Z"
"6103",,"367__461021_Timetable_-_2025-02","405",43.91568374633789,-78.84996795654297,,,"2025-03-22T16:59:41.000Z"
"6104",,"1707__261025_Timetable_-_2025-02","302",43.897682189941406,-78.94998168945312,,,"2025-03-22T16:59:19.000Z"
"6106",,"2639__461016_Timetable_-_2025-02","502",43.91284942626953,-78.69159698486328,,,"2025-03-22T16:59:46.000Z"
"6119",,"4180__461031_Timetable_-_2025-02","409",43.902984619140625,-78.90926361083984,,,"2025-03-22T16:59:16.000Z"
"6120",,"2938__261013_Timetable_-_2025-02","915",43.93903350830078,-78.85144805908203,,,"2025-03-22T16:59:14.000Z"
"6121",,"1579__261026_Timetable_-_2025-02","302",43.95691680908203,-78.96589660644531,,,"2025-03-22T16:59:44.000Z"
"6122",,"2688__261008_Timetable_-_2025-02","917",43.872684478759766,-78.90401458740234,,,"2025-03-22T16:59:37.000Z"
"6125",,"2973__261011_Timetable_-_2025-02","915",43.956748962402344,-78.85694885253906,,,"2025-03-22T16:59:10.000Z"
"6139",,"2608__461018_Timetable_-_2025-02","411",43.88896560668945,-78.8767318725586,,,"2025-03-22T16:59:28.000Z"
"6143",,"2780__261001_Timetable_-_2025-02","917",43.846466064453125,-79.04119873046875,,,"2025-03-22T16:59:06.000Z"
"6144",,"2592__261018_Timetable_-_2025-02","916",43.94376754760742,-78.8514633178711,,,"2025-03-22T16:59:19.000Z"
"6145",,"433__461009_Timetable_-_2025-02","407",43.93009948730469,-78.87348175048828,,,"2025-03-22T16:59:16.000Z"
"6146",,"1897__261027_Timetable_-_2025-02","302",43.86488342285156,-78.93614959716797,,,"2025-03-22T16:59:17.000Z"
"6148",,"2912__261002_Timetable_-_2025-02","917",43.84640121459961,-79.03903198242188,,,"2025-03-22T16:59:43.000Z"
"6149",,"4445__461001_Timetable_-_2025-02","901",43.9031982421875,-78.8662338256836,,,"2025-03-22T16:59:34.000Z"
"6153",,"2908__261016_Timetable_-_2025-02","916",43.87743377685547,-79.0379638671875,,,"2025-03-22T16:59:43.000Z"
"6155",,"1678__261022_Timetable_-_2025-02","905",44.04404830932617,-78.925048828125,,,"2025-03-22T16:59:03.000Z"
"6156",,"1848__261028_Timetable_-_2025-02","905",43.923248291015625,-78.91796875,,,"2025-03-22T16:59:19.000Z"
"7100",,"564__461027_Timetable_-_2025-02","902",43.87089920043945,-78.88565063476562,,,"2025-03-22T16:59:41.000Z"
"7102",,"366__461012_Timetable_-_2025-02","405",43.939632415771484,-78.86019897460938,,,"2025-03-22T16:59:38.000Z"
"7105",,"657__261014_Timetable_-_2025-02","900",43.85426712036133,-79.05628204345703,,,"2025-03-22T16:59:37.000Z"
"7106",,"3677__261019_Timetable_-_2025-02","121",43.828033447265625,-79.14140319824219,,,"2025-03-22T16:59:31.000Z"
"7107",,"561__461019_Timetable_-_2025-02","902",43.900665283203125,-78.8546371459961,,,"2025-03-22T16:59:00.000Z"
"7116",,"5496__261030_Timetable_-_2025-02","112",43.847599029541016,-79.08588409423828,,,"2025-03-22T16:59:36.000Z"
"7117",,"2445__261009_Timetable_-_2025-02","916",43.8382682800293,-79.08686828613281,,,"2025-03-22T16:59:54.000Z"
"7119",,"2700__261007_Timetable_-_2025-02","917",43.864933013916016,-78.93755340576172,,,"2025-03-22T16:58:02.000Z"
"7124",,"4208__461030_Timetable_-_2025-02","409",43.87881851196289,-78.8985366821289,,,"2025-03-22T16:59:40.000Z"
